collection_date,search_term,video_id,title,description,channel_title,published_at,view_count,like_count,comment_count,favorite_count,duration,definition,caption
2026-07-07 15:53:10,cooking,HILNWybDS34,Shawarma! The Right Way! @shelbyscanada.,My IG - https://www.instagram.com/albert_cancook/ My Tik Tok - https://www.tiktok.com/@albert_cancook My Links ...,albert_cancook,2023-05-27 14:00:14+00:00,87576581,4116878,17277,0,PT54S,hd,False
2026-07-07 15:53:10,cooking,Mr6J04gA4Ng,"I Cooked 6,000 Years of Steak From EVERY Ancient Empire","From wagyu and sushi dinners to hearty bowls of black soup that powered armies, we go through 6000 years of foods eaten by ...",Max the Meat Guy,2024-07-21 15:00:17+00:00,3137106,69787,3774,0,PT16M25S,hd,False
2026-07-07 15:53:10,cooking,CjPFxnBexAo,$412 vs $29 Steak Dinner: Pro Chef & Home Cook Swap Ingredients | Epicurious,Professional chef Frank Proto and home cook Lorenzo are swapping ingredients and hitting the kitchen to make a steak dinner.,Epicurious,2025-03-20 16:00:09+00:00,2153766,32815,848,0,PT19M7S,hd,True
2026-07-07 15:53:10,cooking,oDh58oNhJLs,Why hasn’t anyone done this #cooking #foodasmr #food #recipe,,Louis Gantus,2024-11-07 19:58:19+00:00,9326370,0,1822,0,PT38S,hd,False
2026-07-07 15:53:10,cooking,iOX2FnCP3jQ,Cooking Challenge vs Gordon Ramsay (Ft. @NickDiGiovanni),Today @NickDiGiovanni ​⁠​⁠and I challenged the one and only @gordonramsay ! Find Nick's amazing seasonings here: ...,The Golden Balance,2025-07-03 13:01:27+00:00,4713866,17915,616,0,PT10M4S,hd,False
2026-07-07 15:53:10,cooking,hole0OlGR5k,"PRIMITIVE Steak, Eggs & Creamy Potatoes Cooked in The FOREST","3 MASSIVE Steaks on a HOT STONE & Cheesy Potatoes Au Gratin In this episode, we're taking primitive cooking to the next level.",Men With The Pot,2026-03-30 15:00:51+00:00,1543851,19882,517,0,PT18M27S,hd,False
2026-07-07 15:53:10,cooking,O27nLt1BRa8,Spicy noodles from @lumpiaqueen #shorts,,Guma Cook,2025-03-02 08:00:25+00:00,47111527,1205451,6836,0,PT53S,hd,False
2026-07-07 15:53:10,cooking,M3XprfbUFfQ,Quick and humane is the only way. #lobster #howto,,Jose.elcook,2025-07-11 01:49:56+00:00,28741191,1087155,17592,0,PT1M25S,hd,False
2026-07-07 15:53:10,cooking,PxX4V_qEg3Y,Cooking Coraline's Other Side Sunshine Scramble!🍳🥓 #shorts #coraline #omelette #breakfast ,Don't forget to subscribe to my channel!,cookingWITHfred,2025-10-02 15:40:38+00:00,10388112,199157,1048,0,PT18S,hd,False
2026-07-07 15:53:10,cooking,X-Z35rPU5Zw,10 Levels Of Wagyu,Level 1 was insane...and you won't BELIEVE level 10. Subscribe before everyone else ...,Nick DiGiovanni,2023-03-18 16:00:26+00:00,31854501,330906,9053,0,PT11M43S,hd,True
